DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
2026-08-01 00:00:00,4135001,INV01,23.688,22.978,0.006,649816.053
2026-08-01 00:00:00,4135001,INV02,11.512,11.166,0.003,880285.725
2026-08-01 00:00:00,4135001,INV03,0.0,0.0,0.0,792797.577
2026-08-01 00:00:00,4135001,INV04,0.0,0.0,0.0,739463.394
2026-08-01 00:15:00,4135001,INV01,0.0,0.0,0.006,649816.053
2026-08-01 00:15:00,4135001,INV02,0.0,0.0,0.003,880285.725
2026-08-01 00:15:00,4135001,INV03,0.0,0.0,0.0,792797.577
2026-08-01 00:15:00,4135001,INV04,1.664,1.614,0.0,739463.394
2026-08-01 00:30:00,4135001,INV01,0.0,0.0,0.006,649816.053
2026-08-01 00:30:00,4135001,INV02,0.0,0.0,0.003,880285.725
2026-08-01 00:30:00,4135001,INV03,3.133,3.039,0.001,792797.577
2026-08-01 00:30:00,4135001,INV04,0.0,0.0,0.0,739463.394
2026-08-01 00:45:00,4135001,INV01,0.0,0.0,0.006,649816.053
2026-08-01 00:45:00,4135001,INV02,0.0,0.0,0.003,880285.725
2026-08-01 00:45:00,4135001,INV03,5.154,5.0,0.002,792797.579
2026-08-01 00:45:00,4135001,INV04,0.0,0.0,0.0,739463.394
2026-08-01 01:00:00,4135001,INV01,15.465,15.001,0.009,649816.057
2026-08-01 01:00:00,4135001,INV02,13.969,13.55,0.006,880285.729
2026-08-01 01:00:00,4135001,INV03,4.969,4.82,0.003,792797.58
2026-08-01 01:00:00,4135001,INV04,14.633,14.194,0.004,739463.398
2026-08-01 01:15:00,4135001,INV01,0.0,0.0,0.009,649816.057
2026-08-01 01:15:00,4135001,INV02,15.053,14.601,0.01,880285.732
2026-08-01 01:15:00,4135001,INV03,0.0,0.0,0.003,792797.58
2026-08-01 01:15:00,4135001,INV04,23.47,22.766,0.01,739463.403
2026-08-01 01:30:00,4135001,INV01,0.0,0.0,0.009,649816.057
2026-08-01 01:30:00,4135001,INV02,5.357,5.196,0.011,880285.734
2026-08-01 01:30:00,4135001,INV03,0.0,0.0,0.003,792797.58
2026-08-01 01:30:00,4135001,INV04,0.0,0.0,0.01,739463.403
2026-08-01 01:45:00,4135001,INV01,1.456,1.412,0.01,649816.057
2026-08-01 01:45:00,4135001,INV02,14.53,14.094,0.015,880285.737
2026-08-01 01:45:00,4135001,INV03,0.0,0.0,0.003,792797.58
2026-08-01 01:45:00,4135001,INV04,0.0,0.0,0.01,739463.403
2026-08-01 02:00:00,4135001,INV01,0.0,0.0,0.01,649816.057
2026-08-01 02:00:00,4135001,INV02,0.0,0.0,0.015,880285.737
2026-08-01 02:00:00,4135001,INV03,3.863,3.747,0.004,792797.581
2026-08-01 02:00:00,4135001,INV04,0.0,0.0,0.01,739463.403
2026-08-01 02:15:00,4135001,INV01,0.903,0.876,0.01,649816.058
2026-08-01 02:15:00,4135001,INV02,36.949,35.84,0.024,880285.746
2026-08-01 02:15:00,4135001,INV03,0.0,0.0,0.004,792797.581
2026-08-01 02:15:00,4135001,INV04,0.0,0.0,0.01,739463.403
2026-08-01 02:30:00,4135001,INV01,21.042,20.411,0.015,649816.063
2026-08-01 02:30:00,4135001,INV02,0.0,0.0,0.024,880285.746
2026-08-01 02:30:00,4135001,INV03,0.0,0.0,0.004,792797.581
2026-08-01 02:30:00,4135001,INV04,0.0,0.0,0.01,739463.403
2026-08-01 02:45:00,4135001,INV01,0.0,0.0,0.015,649816.063
2026-08-01 02:45:00,4135001,INV02,23.249,22.552,0.029,880285.752
2026-08-01 02:45:00,4135001,INV03,12.203,11.837,0.007,792797.584
2026-08-01 02:45:00,4135001,INV04,0.0,0.0,0.01,739463.403
2026-08-01 03:00:00,4135001,INV01,3.898,3.781,0.016,649816.064
2026-08-01 03:00:00,4135001,INV02,11.727,11.376,0.032,880285.755
2026-08-01 03:00:00,4135001,INV03,3.757,3.645,0.008,792797.585
2026-08-01 03:00:00,4135001,INV04,5.197,5.041,0.011,739463.405
2026-08-01 03:15:00,4135001,INV01,27.987,27.147,0.023,649816.07
2026-08-01 03:15:00,4135001,INV02,7.107,6.894,0.034,880285.756
2026-08-01 03:15:00,4135001,INV03,17.379,16.858,0.012,792797.589
2026-08-01 03:15:00,4135001,INV04,0.0,0.0,0.011,739463.405
2026-08-01 03:30:00,4135001,INV01,0.0,0.0,0.023,649816.07
2026-08-01 03:30:00,4135001,INV02,0.0,0.0,0.034,880285.756
2026-08-01 03:30:00,4135001,INV03,0.195,0.189,0.012,792797.589
2026-08-01 03:30:00,4135001,INV04,21.803,21.149,0.016,739463.41
2026-08-01 03:45:00,4135001,INV01,0.0,0.0,0.023,649816.07
2026-08-01 03:45:00,4135001,INV02,7.237,7.02,0.036,880285.758
2026-08-01 03:45:00,4135001,INV03,7.099,6.886,0.014,792797.591
2026-08-01 03:45:00,4135001,INV04,0.0,0.0,0.016,739463.41
2026-08-01 04:00:00,4135001,INV01,3.211,3.115,0.024,649816.071
2026-08-01 04:00:00,4135001,INV02,0.0,0.0,0.036,880285.758
2026-08-01 04:00:00,4135001,INV03,0.873,0.847,0.014,792797.591
2026-08-01 04:00:00,4135001,INV04,0.0,0.0,0.016,739463.41
2026-08-01 04:15:00,4135001,INV01,7.726,7.494,0.026,649816.073
2026-08-01 04:15:00,4135001,INV02,7.707,7.476,0.037,880285.76
2026-08-01 04:15:00,4135001,INV03,8.563,8.306,0.016,792797.593
2026-08-01 04:15:00,4135001,INV04,17.033,16.522,0.02,739463.414
2026-08-01 04:30:00,4135001,INV01,0.0,0.0,0.026,649816.073
2026-08-01 04:30:00,4135001,INV02,1.228,1.191,0.038,880285.76
2026-08-01 04:30:00,4135001,INV03,0.0,0.0,0.016,792797.593
2026-08-01 04:30:00,4135001,INV04,16.334,15.844,0.024,739463.418
2026-08-01 04:45:00,4135001,INV01,0.684,0.663,0.026,649816.073
2026-08-01 04:45:00,4135001,INV02,0.0,0.0,0.038,880285.76
